ID,Region,Country_ID
b5c8e6fd-1e0a-4b9f-8d5c-4a3f2e1d0b9v,Berlin,6085a79e-83dc-4cb5-878c-3dae06287ef1
c6d9f7ae-2f1b-4ca0-9e6d-5b4a3f2e1ca0,Hesse,6085a79e-83dc-4cb5-878c-3dae06287ef1
d7e0a8bf-3a2c-4db1-8f7e-6c5b4a3f2db1,North Rhine-Westphalia,6085a79e-83dc-4cb5-878c-3dae06287ef1
e8f1b9ca-4b3d-4ec2-9a8f-7d6c5b4a3ec2,England,a3b4c5d6-e7f8-4g9h-0i1j-2k3l4m5n6o7p
f9a2cadb-5c4e-4fd3-8b9a-8e7d6c5b4fd3,Scotland,a3b4c5d6-e7f8-4g9h-0i1j-2k3l4m5n6o7p
a0b3dbec-6d5f-4a44-9caf-9f8e7d6c5ae4,Wales,a3b4c5d6-e7f8-4g9h-0i1j-2k3l4m5n6o7p
b1c4ecfd-7e6a-4b55-8db0-0a9f8e7d6bf5,Northern Ireland,a3b4c5d6-e7f8-4g9h-0i1j-2k3l4m5n6o7p
c2d5fdae-8f7b-4c66-9ec1-1ba09f8e7ca6,Île-de-France,f7caeaee-dfcf-4bff-8efb-2a3b4c8d9e7f
d3e6aebf-9a8c-4d77-8fd2-2cb1ba09f8d7,Provence-Alpes-Côte d'Azur,f7caeaee-dfcf-4bff-8efb-2a3b4c8d9e7f
e4f7bfca-0b9d-4e88-9ae3-3dc2cb1ba9e8,Occitanie,f7caeaee-dfcf-4bff-8efb-2a3b4c8d9e7f
f5a8cadb-1cae-4f99-8bf4-4ed3dc2cbaf9,Auvergne-Rhône-Alpes,f7caeaee-dfcf-4bff-8efb-2a3b4c8d9e7f
a6b9dbec-2dbf-4a00-9ca5-5fe4ed3dcb0a,Mexico City,881aa8ea-d328-4f11-81c6-856c0a15ce78
b7caecfd-3ec0-4b11-8db6-6af5fe4edc1b,Jalisco,881aa8ea-d328-4f11-81c6-856c0a15ce78
c8dbfdae-4fd1-4c22-9ec7-7ba6af5fed2c,Quintana Roo,881aa8ea-d328-4f11-81c6-856c0a15ce78
d9ecafbf-5a22-4d33-8fd8-8cb7ba6afe3d,Beijing,eaedeeff-c4c2-4aae-9dcd-7f8a9b8d9e7f
e0fdb0ca-6b33-4e44-9ae9-9dc8cb7baf4e,Shanghai,eaedeeff-c4c2-4aae-9dcd-7f8a9b8d9e7f
f1aeca1b-7c44-4f55-8bf0-0ed9dc8cb05f,Guangdong,eaedeeff-c4c2-4aae-9dcd-7f8a9b8d9e7f
a2bfdb2c-8d55-4a66-9ca1-1fe0ed9dcb6a,Tokyo,e1f2a3b4-c5d6-4e7f-8g9h-0i1j2k3l4m5n
b3c0ec3d-9e66-4b77-8db2-2af1fe0edc7b,Osaka,e1f2a3b4-c5d6-4e7f-8g9h-0i1j2k3l4m5n
c4d1fd4e-0f77-4c88-9ec3-3ba2af1fed8c,Hokkaido,e1f2a3b4-c5d6-4e7f-8g9h-0i1j2k3l4m5n
d5e2ae5f-1a88-4d99-8fd4-4cb3ba2afe9d,Kyoto,e1f2a3b4-c5d6-4e7f-8g9h-0i1j2k3l4m5n
e6f3bf6a-2b99-4ea0-9ae5-5dc4cb3baf0e,Moscow,b4c5d6e7-f8g9-4h0i-1j2k-3l4m5n6o7p8q
f7a4ca7b-3ca0-4fb1-8bf6-6ed5dc4cba1f,Saint Petersburg,b4c5d6e7-f8g9-4h0i-1j2k-3l4m5n6o7p8q
a8b5db8c-4db1-4ac2-9ca7-7fe6ed5dcb2a,Krasnodar Krai,b4c5d6e7-f8g9-4h0i-1j2k-3l4m5n6o7p8q
b9c6ec9d-5ec2-4bd3-8db8-8af7fe6edc3b,São Paulo,e8e1e1f3-c8bc-4aec-9d04-5f6a7b8d9e7f
c0d7fd0e-6fd3-4ce4-9ec9-9ba8af7fed4c,Rio de Janeiro,e8e1e1f3-c8bc-4aec-9d04-5f6a7b8d9e7f
d1e8ae1f-7a44-4df5-8fd0-0cb9ba8afe5d,Minas Gerais,e8e1e1f3-c8bc-4aec-9d04-5f6a7b8d9e7f
e2f9bf2a-8b55-4ea6-9ae1-1dca0b9baf6e,Maharashtra,c9d0e1f2-a3b4-4c5d-6e7f-8g9h0i1j2k3l
f3a0ca3b-9c66-4fb7-8bf2-2edb1ca0bb7f,Delhi,c9d0e1f2-a3b4-4c5d-6e7f-8g9h0i1j2k3l
a4b1db4c-0d77-4ac8-9ca3-3fedc2b1bc8a,Karnataka,c9d0e1f2-a3b4-4c5d-6e7f-8g9h0i1j2k3l
b5c2ec5d-1e88-4bd9-8db4-4afed3c2bd9b,Tamil Nadu,c9d0e1f2-a3b4-4c5d-6e7f-8g9h0i1j2k3l
c6d3fd6e-2f99-4ce0-9ec5-5b0afed4ce0c,New South Wales,b9e9d3d3-4f8a-4d9c-8a1b-0c1d2e8d9e7f
d7e4ae7f-3a00-4df1-8fd6-6c1b0affe01d,Victoria,b9e9d3d3-4f8a-4d9c-8a1b-0c1d2e8d9e7f
e8f5bf8a-4b11-4ea2-9ae7-7d2c1b0bff2e,Queensland,b9e9d3d3-4f8a-4d9c-8a1b-0c1d2e8d9e7f
f9a6ca9b-5c22-4fb3-8bf8-8e3d2c1b0a3f,Antioquia,fbfef0a0-d5d3-4bbf-8edd-8a9b0c8d9e7f
a0b7db0c-6d33-4ac4-9ca9-9f4e3d2c1b4a,Cundinamarca,fbfef0a0-d5d3-4bbf-8edd-8a9b0c8d9e7f
b1c8ec1d-7e44-4bd5-8db0-0a5f4e3d2c5b,Valle del Cauca,fbfef0a0-d5d3-4bbf-8edd-8a9b0c8d9e7f
c2d9fd2e-8f55-4ce6-9ec1-1b6a5f4e3d6c,Lombardy,d0e1f2a3-b4c5-4d6e-7f8g-9h0i1j2k3l4m
d3e0ae3f-9a66-4df7-8fd2-2c7b6a5f4e7d,Lazio,d0e1f2a3-b4c5-4d6e-7f8g-9h0i1j2k3l4m
e4f1bf4a-0b77-4ea8-9ae3-3d8c7b6a5f8e,Veneto,d0e1f2a3-b4c5-4d6e-7f8g-9h0i1j2k3l4m
f5a2ca5b-1c88-4fb9-8bf4-4e9d8c7b6a9f,Tuscany,d0e1f2a3-b4c5-4d6e-7f8g-9h0i1j2k3l4m
